studentenrollmentbyell2008-2021
District,FIPS,Year,Learner,Variable,Type,Value
Regional School District 16,,2018-2019,Non-English Language Learner,Student Enrollment,Number,2102
Regional School District 16,,2018-2019,English Language Learner,Student Enrollment,Number,32
Regional School District 16,,2019-2020,Non-English Language Learner,Student Enrollment,Number,2057
Regional School District 16,,2019-2020,English Language Learner,Student Enrollment,Number,27
Regional School District 16,,2020-2021,Non-English Language Learner,Student Enrollment,Number,1962
Regional School District 16,,2020-2021,English Language Learner,Student Enrollment,Number,39
Regional School District 17,,2007-2008,Non-English Language Learner,Student Enrollment,Number,-9999
Regional School District 17,,2007-2008,English Language Learner,Student Enrollment,Number,-9999
Regional School District 17,,2008-2009,Non-English Language Learner,Student Enrollment,Number,-9999
Regional School District 17,,2008-2009,English Language Learner,Student Enrollment,Number,-9999
Regional School District 17,,2009-2010,Non-English Language Learner,Student Enrollment,Number,-9999
Regional School District 17,,2009-2010,English Language Learner,Student Enrollment,Number,-9999
Regional School District 17,,2010-2011,Non-English Language Learner,Student Enrollment,Number,-9999
Regional School District 17,,2010-2011,English Language Learner,Student Enrollment,Number,-9999
Regional School District 17,,2011-2012,Non-English Language Learner,Student Enrollment,Number,-9999
Regional School District 17,,2011-2012,English Language Learner,Student Enrollment,Number,-9999
Regional School District 17,,2012-2013,Non-English Language Learner,Student Enrollment,Number,2312
Regional School District 17,,2012-2013,English Language Learner,Student Enrollment,Number,8
Regional School District 17,,2013-2014,Non-English Language Learner,Student Enrollment,Number,2275
Regional School District 17,,2013-2014,English Language Learner,Student Enrollment,Number,6
Regional School District 17,,2014-2015,Non-English Language Learner,Student Enrollment,Number,-9999
Regional School District 17,,2014-2015,English Language Learner,Student Enrollment,Number,-9999
Regional School District 17,,2015-2016,Non-English Language Learner,Student Enrollment,Number,2127
Regional School District 17,,2015-2016,English Language Learner,Student Enrollment,Number,6
Regional School District 17,,2016-2017,Non-English Language Learner,Student Enrollment,Number,2111
Regional School District 17,,2016-2017,English Language Learner,Student Enrollment,Number,6
Regional School District 17,,2017-2018,Non-English Language Learner,Student Enrollment,Number,2055
Regional School District 17,,2017-2018,English Language Learner,Student Enrollment,Number,11
Regional School District 17,,2018-2019,Non-English Language Learner,Student Enrollment,Number,2013
Regional School District 17,,2018-2019,English Language Learner,Student Enrollment,Number,13
Regional School District 17,,2019-2020,Non-English Language Learner,Student Enrollment,Number,1939
Regional School District 17,,2019-2020,English Language Learner,Student Enrollment,Number,19
Regional School District 17,,2020-2021,Non-English Language Learner,Student Enrollment,Number,1837
Regional School District 17,,2020-2021,English Language Learner,Student Enrollment,Number,12
Regional School District 18,,2007-2008,Non-English Language Learner,Student Enrollment,Number,-9999
Regional School District 18,,2007-2008,English Language Learner,Student Enrollment,Number,-9999
Regional School District 18,,2008-2009,Non-English Language Learner,Student Enrollment,Number,-9999
Regional School District 18,,2008-2009,English Language Learner,Student Enrollment,Number,-9999
Regional School District 18,,2009-2010,Non-English Language Learner,Student Enrollment,Number,1483
Regional School District 18,,2009-2010,English Language Learner,Student Enrollment,Number,7
Regional School District 18,,2010-2011,Non-English Language Learner,Student Enrollment,Number,-9999
Regional School District 18,,2010-2011,English Language Learner,Student Enrollment,Number,-9999
Regional School District 18,,2011-2012,Non-English Language Learner,Student Enrollment,Number,1450
Regional School District 18,,2011-2012,English Language Learner,Student Enrollment,Number,6
Regional School District 18,,2012-2013,Non-English Language Learner,Student Enrollment,Number,1436
Regional School District 18,,2012-2013,English Language Learner,Student Enrollment,Number,14
Regional School District 18,,2013-2014,Non-English Language Learner,Student Enrollment,Number,1397
Regional School District 18,,2013-2014,English Language Learner,Student Enrollment,Number,14
Regional School District 18,,2014-2015,Non-English Language Learner,Student Enrollment,Number,1346
Regional School District 18,,2014-2015,English Language Learner,Student Enrollment,Number,8
Regional School District 18,,2015-2016,Non-English Language Learner,Student Enrollment,Number,1331
Regional School District 18,,2015-2016,English Language Learner,Student Enrollment,Number,8
Regional School District 18,,2016-2017,Non-English Language Learner,Student Enrollment,Number,1296
Regional School District 18,,2016-2017,English Language Learner,Student Enrollment,Number,12
Regional School District 18,,2017-2018,Non-English Language Learner,Student Enrollment,Number,1263
Regional School District 18,,2017-2018,English Language Learner,Student Enrollment,Number,15
Regional School District 18,,2018-2019,Non-English Language Learner,Student Enrollment,Number,1240
Regional School District 18,,2018-2019,English Language Learner,Student Enrollment,Number,23
Regional School District 18,,2019-2020,Non-English Language Learner,Student Enrollment,Number,1260
Regional School District 18,,2019-2020,English Language Learner,Student Enrollment,Number,30
Regional School District 18,,2020-2021,Non-English Language Learner,Student Enrollment,Number,1257
Regional School District 18,,2020-2021,English Language Learner,Student Enrollment,Number,26
Regional School District 19,,2007-2008,Non-English Language Learner,Student Enrollment,Number,1183
Regional School District 19,,2007-2008,English Language Learner,Student Enrollment,Number,8
Regional School District 19,,2008-2009,Non-English Language Learner,Student Enrollment,Number,1170
Regional School District 19,,2008-2009,English Language Learner,Student Enrollment,Number,11
Regional School District 19,,2009-2010,Non-English Language Learner,Student Enrollment,Number,1190
Regional School District 19,,2009-2010,English Language Learner,Student Enrollment,Number,11
Regional School District 19,,2010-2011,Non-English Language Learner,Student Enrollment,Number,1187
Regional School District 19,,2010-2011,English Language Learner,Student Enrollment,Number,10
Regional School District 19,,2011-2012,Non-English Language Learner,Student Enrollment,Number,1221
Regional School District 19,,2011-2012,English Language Learner,Student Enrollment,Number,17
Regional School District 19,,2012-2013,Non-English Language Learner,Student Enrollment,Number,1215
Regional School District 19,,2012-2013,English Language Learner,Student Enrollment,Number,20
Regional School District 19,,2013-2014,Non-English Language Learner,Student Enrollment,Number,1192
Regional School District 19,,2013-2014,English Language Learner,Student Enrollment,Number,13
Regional School District 19,,2014-2015,Non-English Language Learner,Student Enrollment,Number,1188
Regional School District 19,,2014-2015,English Language Learner,Student Enrollment,Number,16
Regional School District 19,,2015-2016,Non-English Language Learner,Student Enrollment,Number,1194
Regional School District 19,,2015-2016,English Language Learner,Student Enrollment,Number,19
Regional School District 19,,2016-2017,Non-English Language Learner,Student Enrollment,Number,1188
Regional School District 19,,2016-2017,English Language Learner,Student Enrollment,Number,16
Regional School District 19,,2017-2018,Non-English Language Learner,Student Enrollment,Number,1189
Regional School District 19,,2017-2018,English Language Learner,Student Enrollment,Number,19
Regional School District 19,,2018-2019,Non-English Language Learner,Student Enrollment,Number,1139
Regional School District 19,,2018-2019,English Language Learner,Student Enrollment,Number,11
Regional School District 19,,2019-2020,Non-English Language Learner,Student Enrollment,Number,1094
Regional School District 19,,2019-2020,English Language Learner,Student Enrollment,Number,8
Regional School District 19,,2020-2021,Non-English Language Learner,Student Enrollment,Number,1098
Regional School District 19,,2020-2021,English Language Learner,Student Enrollment,Number,7
Ridgefield School District,900163970,2007-2008,Non-English Language Learner,Student Enrollment,Number,5524
Ridgefield School District,900163970,2007-2008,English Language Learner,Student Enrollment,Number,36
Ridgefield School District,900163970,2008-2009,Non-English Language Learner,Student Enrollment,Number,5519
Ridgefield School District,900163970,2008-2009,English Language Learner,Student Enrollment,Number,32
Ridgefield School District,900163970,2009-2010,Non-English Language Learner,Student Enrollment,Number,5432
Ridgefield School District,900163970,2009-2010,English Language Learner,Student Enrollment,Number,24
Ridgefield School District,900163970,2010-2011,Non-English Language Learner,Student Enrollment,Number,5395
Ridgefield School District,900163970,2010-2011,English Language Learner,Student Enrollment,Number,42
Ridgefield School District,900163970,2011-2012,Non-English Language Learner,Student Enrollment,Number,5338
Ridgefield School District,900163970,2011-2012,English Language Learner,Student Enrollment,Number,41
Ridgefield School District,900163970,2012-2013,Non-English Language Learner,Student Enrollment,Number,5246
Ridgefield School District,900163970,2012-2013,English Language Learner,Student Enrollment,Number,50
Ridgefield School District,900163970,2013-2014,Non-English Language Learner,Student Enrollment,Number,5244
Ridgefield School District,900163970,2013-2014,English Language Learner,Student Enrollment,Number,49
Ridgefield School District,900163970,2014-2015,Non-English Language Learner,Student Enrollment,Number,5103
Ridgefield School District,900163970,2014-2015,English Language Learner,Student Enrollment,Number,75
Ridgefield School District,900163970,2015-2016,Non-English Language Learner,Student Enrollment,Number,4996
Ridgefield School District,900163970,2015-2016,English Language Learner,Student Enrollment,Number,56
Ridgefield School District,900163970,2016-2017,Non-English Language Learner,Student Enrollment,Number,4923
Ridgefield School District,900163970,2016-2017,English Language Learner,Student Enrollment,Number,61
Ridgefield School District,900163970,2017-2018,Non-English Language Learner,Student Enrollment,Number,4876
Ridgefield School District,900163970,2017-2018,English Language Learner,Student Enrollment,Number,53
Ridgefield School District,900163970,2018-2019,Non-English Language Learner,Student Enrollment,Number,4794
Ridgefield School District,900163970,2018-2019,English Language Learner,Student Enrollment,Number,66
Ridgefield School District,900163970,2019-2020,Non-English Language Learner,Student Enrollment,Number,4651
Ridgefield School District,900163970,2019-2020,English Language Learner,Student Enrollment,Number,56
Ridgefield School District,900163970,2020-2021,Non-English Language Learner,Student Enrollment,Number,4506
Ridgefield School District,900163970,2020-2021,English Language Learner,Student Enrollment,Number,50
Rocky Hill School District,900365370,2007-2008,Non-English Language Learner,Student Enrollment,Number,2534
Rocky Hill School District,900365370,2007-2008,English Language Learner,Student Enrollment,Number,88
Rocky Hill School District,900365370,2008-2009,Non-English Language Learner,Student Enrollment,Number,2536
Rocky Hill School District,900365370,2008-2009,English Language Learner,Student Enrollment,Number,89
Rocky Hill School District,900365370,2009-2010,Non-English Language Learner,Student Enrollment,Number,2563
Rocky Hill School District,900365370,2009-2010,English Language Learner,Student Enrollment,Number,86
Rocky Hill School District,900365370,2010-2011,Non-English Language Learner,Student Enrollment,Number,2519
Rocky Hill School District,900365370,2010-2011,English Language Learner,Student Enrollment,Number,74
Rocky Hill School District,900365370,2011-2012,Non-English Language Learner,Student Enrollment,Number,2461
Rocky Hill School District,900365370,2011-2012,English Language Learner,Student Enrollment,Number,78
Rocky Hill School District,900365370,2012-2013,Non-English Language Learner,Student Enrollment,Number,2380
Rocky Hill School District,900365370,2012-2013,English Language Learner,Student Enrollment,Number,90
Rocky Hill School District,900365370,2013-2014,Non-English Language Learner,Student Enrollment,Number,2317
Rocky Hill School District,900365370,2013-2014,English Language Learner,Student Enrollment,Number,108
Rocky Hill School District,900365370,2014-2015,Non-English Language Learner,Student Enrollment,Number,2356
Rocky Hill School District,900365370,2014-2015,English Language Learner,Student Enrollment,Number,131
Rocky Hill School District,900365370,2015-2016,Non-English Language Learner,Student Enrollment,Number,2419
Rocky Hill School District,900365370,2015-2016,English Language Learner,Student Enrollment,Number,191
Rocky Hill School District,900365370,2016-2017,Non-English Language Learner,Student Enrollment,Number,2432
Rocky Hill School District,900365370,2016-2017,English Language Learner,Student Enrollment,Number,189
Rocky Hill School District,900365370,2017-2018,Non-English Language Learner,Student Enrollment,Number,2498
Rocky Hill School District,900365370,2017-2018,English Language Learner,Student Enrollment,Number,211
Rocky Hill School District,900365370,2018-2019,Non-English Language Learner,Student Enrollment,Number,2512
Rocky Hill School District,900365370,2018-2019,English Language Learner,Student Enrollment,Number,236
Rocky Hill School District,900365370,2019-2020,Non-English Language Learner,Student Enrollment,Number,2486
Rocky Hill School District,900365370,2019-2020,English Language Learner,Student Enrollment,Number,215
Rocky Hill School District,900365370,2020-2021,Non-English Language Learner,Student Enrollment,Number,2440
Rocky Hill School District,900365370,2020-2021,English Language Learner,Student Enrollment,Number,202
Salem School District,,2007-2008,Non-English Language Learner,Student Enrollment,Number,506
Salem School District,,2007-2008,English Language Learner,Student Enrollment,Number,0
Salem School District,,2008-2009,Non-English Language Learner,Student Enrollment,Number,523
Salem School District,,2008-2009,English Language Learner,Student Enrollment,Number,0
Salem School District,,2009-2010,Non-English Language Learner,Student Enrollment,Number,-9999
Salem School District,,2009-2010,English Language Learner,Student Enrollment,Number,-9999
Salem School District,,2010-2011,Non-English Language Learner,Student Enrollment,Number,-9999
Salem School District,,2010-2011,English Language Learner,Student Enrollment,Number,-9999
Salem School District,,2011-2012,Non-English Language Learner,Student Enrollment,Number,-9999
Salem School District,,2011-2012,English Language Learner,Student Enrollment,Number,-9999
Salem School District,,2012-2013,Non-English Language Learner,Student Enrollment,Number,-9999
Salem School District,,2012-2013,English Language Learner,Student Enrollment,Number,-9999
Salem School District,,2013-2014,Non-English Language Learner,Student Enrollment,Number,-9999
Salem School District,,2013-2014,English Language Learner,Student Enrollment,Number,-9999
Salem School District,,2014-2015,Non-English Language Learner,Student Enrollment,Number,-9999
Salem School District,,2014-2015,English Language Learner,Student Enrollment,Number,-9999
Salem School District,,2015-2016,Non-English Language Learner,Student Enrollment,Number,384
Salem School District,,2015-2016,English Language Learner,Student Enrollment,Number,0
Salem School District,,2016-2017,Non-English Language Learner,Student Enrollment,Number,409
Salem School District,,2016-2017,English Language Learner,Student Enrollment,Number,0
Salem School District,,2017-2018,Non-English Language Learner,Student Enrollment,Number,401
Salem School District,,2017-2018,English Language Learner,Student Enrollment,Number,0
Salem School District,,2018-2019,Non-English Language Learner,Student Enrollment,Number,-9999
Salem School District,,2018-2019,English Language Learner,Student Enrollment,Number,-9999
Salem School District,,2019-2020,Non-English Language Learner,Student Enrollment,Number,-9999
Salem School District,,2019-2020,English Language Learner,Student Enrollment,Number,-9999
Salem School District,,2020-2021,Non-English Language Learner,Student Enrollment,Number,-9999
Salem School District,,2020-2021,English Language Learner,Student Enrollment,Number,-9999
Salisbury School District,,2007-2008,Non-English Language Learner,Student Enrollment,Number,307
Salisbury School District,,2007-2008,English Language Learner,Student Enrollment,Number,0
Salisbury School District,,2008-2009,Non-English Language Learner,Student Enrollment,Number,319
Salisbury School District,,2008-2009,English Language Learner,Student Enrollment,Number,0
Salisbury School District,,2009-2010,Non-English Language Learner,Student Enrollment,Number,311
Salisbury School District,,2009-2010,English Language Learner,Student Enrollment,Number,0
Salisbury School District,,2010-2011,Non-English Language Learner,Student Enrollment,Number,310
Salisbury School District,,2010-2011,English Language Learner,Student Enrollment,Number,0
Salisbury School District,,2011-2012,Non-English Language Learner,Student Enrollment,Number,311
Salisbury School District,,2011-2012,English Language Learner,Student Enrollment,Number,0
Salisbury School District,,2012-2013,Non-English Language Learner,Student Enrollment,Number,310
Salisbury School District,,2012-2013,English Language Learner,Student Enrollment,Number,0
Salisbury School District,,2013-2014,Non-English Language Learner,Student Enrollment,Number,-9999
Salisbury School District,,2013-2014,English Language Learner,Student Enrollment,Number,-9999
Salisbury School District,,2014-2015,Non-English Language Learner,Student Enrollment,Number,-9999
Salisbury School District,,2014-2015,English Language Learner,Student Enrollment,Number,-9999
Salisbury School District,,2015-2016,Non-English Language Learner,Student Enrollment,Number,267
Salisbury School District,,2015-2016,English Language Learner,Student Enrollment,Number,7
Salisbury School District,,2016-2017,Non-English Language Learner,Student Enrollment,Number,266
Salisbury School District,,2016-2017,English Language Learner,Student Enrollment,Number,14
Salisbury School District,,2017-2018,Non-English Language Learner,Student Enrollment,Number,283
Salisbury School District,,2017-2018,English Language Learner,Student Enrollment,Number,15
Salisbury School District,,2018-2019,Non-English Language Learner,Student Enrollment,Number,278
Salisbury School District,,2018-2019,English Language Learner,Student Enrollment,Number,9
Salisbury School District,,2019-2020,Non-English Language Learner,Student Enrollment,Number,273
Salisbury School District,,2019-2020,English Language Learner,Student Enrollment,Number,11
Salisbury School District,,2020-2021,Non-English Language Learner,Student Enrollment,Number,302
Salisbury School District,,2020-2021,English Language Learner,Student Enrollment,Number,8
Scotland School District,,2007-2008,Non-English Language Learner,Student Enrollment,Number,190
Scotland School District,,2007-2008,English Language Learner,Student Enrollment,Number,0
Scotland School District,,2008-2009,Non-English Language Learner,Student Enrollment,Number,190
Scotland School District,,2008-2009,English Language Learner,Student Enrollment,Number,0
Scotland School District,,2009-2010,Non-English Language Learner,Student Enrollment,Number,161
Scotland School District,,2009-2010,English Language Learner,Student Enrollment,Number,0
Scotland School District,,2010-2011,Non-English Language Learner,Student Enrollment,Number,143
Scotland School District,,2010-2011,English Language Learner,Student Enrollment,Number,0
Scotland School District,,2011-2012,Non-English Language Learner,Student Enrollment,Number,132
Scotland School District,,2011-2012,English Language Learner,Student Enrollment,Number,0
Scotland School District,,2012-2013,Non-English Language Learner,Student Enrollment,Number,127
Scotland School District,,2012-2013,English Language Learner,Student Enrollment,Number,0
Scotland School District,,2013-2014,Non-English Language Learner,Student Enrollment,Number,133
Scotland School District,,2013-2014,English Language Learner,Student Enrollment,Number,0
Scotland School District,,2014-2015,Non-English Language Learner,Student Enrollment,Number,129
Scotland School District,,2014-2015,English Language Learner,Student Enrollment,Number,0
Scotland School District,,2015-2016,Non-English Language Learner,Student Enrollment,Number,119
Scotland School District,,2015-2016,English Language Learner,Student Enrollment,Number,0
Scotland School District,,2016-2017,Non-English Language Learner,Student Enrollment,Number,116
Scotland School District,,2016-2017,English Language Learner,Student Enrollment,Number,0
Scotland School District,,2017-2018,Non-English Language Learner,Student Enrollment,Number,119
Scotland School District,,2017-2018,English Language Learner,Student Enrollment,Number,0
Scotland School District,,2018-2019,Non-English Language Learner,Student Enrollment,Number,105
Scotland School District,,2018-2019,English Language Learner,Student Enrollment,Number,0
Scotland School District,,2019-2020,Non-English Language Learner,Student Enrollment,Number,106
Scotland School District,,2019-2020,English Language Learner,Student Enrollment,Number,0
Scotland School District,,2020-2021,Non-English Language Learner,Student Enrollment,Number,88
Scotland School District,,2020-2021,English Language Learner,Student Enrollment,Number,0
Seymour School District,900967610,2007-2008,Non-English Language Learner,Student Enrollment,Number,2578
Seymour School District,900967610,2007-2008,English Language Learner,Student Enrollment,Number,41
Seymour School District,900967610,2008-2009,Non-English Language Learner,Student Enrollment,Number,2533
Seymour School District,900967610,2008-2009,English Language Learner,Student Enrollment,Number,49
Seymour School District,900967610,2009-2010,Non-English Language Learner,Student Enrollment,Number,2382
Seymour School District,900967610,2009-2010,English Language Learner,Student Enrollment,Number,60
Seymour School District,900967610,2010-2011,Non-English Language Learner,Student Enrollment,Number,2348
Seymour School District,900967610,2010-2011,English Language Learner,Student Enrollment,Number,76
Seymour School District,900967610,2011-2012,Non-English Language Learner,Student Enrollment,Number,2236
Seymour School District,900967610,2011-2012,English Language Learner,Student Enrollment,Number,74
Seymour School District,900967610,2012-2013,Non-English Language Learner,Student Enrollment,Number,2232
Seymour School District,900967610,2012-2013,English Language Learner,Student Enrollment,Number,62
Seymour School District,900967610,2013-2014,Non-English Language Learner,Student Enrollment,Number,2223
Seymour School District,900967610,2013-2014,English Language Learner,Student Enrollment,Number,83
Seymour School District,900967610,2014-2015,Non-English Language Learner,Student Enrollment,Number,2214
Seymour School District,900967610,2014-2015,English Language Learner,Student Enrollment,Number,72
Seymour School District,900967610,2015-2016,Non-English Language Learner,Student Enrollment,Number,2161
Seymour School District,900967610,2015-2016,English Language Learner,Student Enrollment,Number,54
Seymour School District,900967610,2016-2017,Non-English Language Learner,Student Enrollment,Number,2102
Seymour School District,900967610,2016-2017,English Language Learner,Student Enrollment,Number,56
Seymour School District,900967610,2017-2018,Non-English Language Learner,Student Enrollment,Number,2113
Seymour School District,900967610,2017-2018,English Language Learner,Student Enrollment,Number,63
Seymour School District,900967610,2018-2019,Non-English Language Learner,Student Enrollment,Number,2111
Seymour School District,900967610,2018-2019,English Language Learner,Student Enrollment,Number,67
Seymour School District,900967610,2019-2020,Non-English Language Learner,Student Enrollment,Number,2096
Seymour School District,900967610,2019-2020,English Language Learner,Student Enrollment,Number,83
Seymour School District,900967610,2020-2021,Non-English Language Learner,Student Enrollment,Number,2023
Seymour School District,900967610,2020-2021,English Language Learner,Student Enrollment,Number,87
Sharon School District,,2007-2008,Non-English Language Learner,Student Enrollment,Number,-9999
Sharon School District,,2007-2008,English Language Learner,Student Enrollment,Number,-9999
Sharon School District,,2008-2009,Non-English Language Learner,Student Enrollment,Number,196
Sharon School District,,2008-2009,English Language Learner,Student Enrollment,Number,0
Sharon School District,,2009-2010,Non-English Language Learner,Student Enrollment,Number,205
Sharon School District,,2009-2010,English Language Learner,Student Enrollment,Number,0
Sharon School District,,2010-2011,Non-English Language Learner,Student Enrollment,Number,197
Sharon School District,,2010-2011,English Language Learner,Student Enrollment,Number,0
Sharon School District,,2011-2012,Non-English Language Learner,Student Enrollment,Number,191
Sharon School District,,2011-2012,English Language Learner,Student Enrollment,Number,0
Sharon School District,,2012-2013,Non-English Language Learner,Student Enrollment,Number,188
Sharon School District,,2012-2013,English Language Learner,Student Enrollment,Number,0
Sharon School District,,2013-2014,Non-English Language Learner,Student Enrollment,Number,-9999
Sharon School District,,2013-2014,English Language Learner,Student Enrollment,Number,-9999
Sharon School District,,2014-2015,Non-English Language Learner,Student Enrollment,Number,-9999
Sharon School District,,2014-2015,English Language Learner,Student Enrollment,Number,-9999
Sharon School District,,2015-2016,Non-English Language Learner,Student Enrollment,Number,-9999
Sharon School District,,2015-2016,English Language Learner,Student Enrollment,Number,-9999
Sharon School District,,2016-2017,Non-English Language Learner,Student Enrollment,Number,-9999
Sharon School District,,2016-2017,English Language Learner,Student Enrollment,Number,-9999
Sharon School District,,2017-2018,Non-English Language Learner,Student Enrollment,Number,-9999
Sharon School District,,2017-2018,English Language Learner,Student Enrollment,Number,-9999
Sharon School District,,2018-2019,Non-English Language Learner,Student Enrollment,Number,-9999
Sharon School District,,2018-2019,English Language Learner,Student Enrollment,Number,-9999
Sharon School District,,2019-2020,Non-English Language Learner,Student Enrollment,Number,-9999
Sharon School District,,2019-2020,English Language Learner,Student Enrollment,Number,-9999
Sharon School District,,2020-2021,Non-English Language Learner,Student Enrollment,Number,106
Sharon School District,,2020-2021,English Language Learner,Student Enrollment,Number,6
Shelton School District,900168170,2007-2008,Non-English Language Learner,Student Enrollment,Number,5553
Shelton School District,900168170,2007-2008,English Language Learner,Student Enrollment,Number,117
Shelton School District,900168170,2008-2009,Non-English Language Learner,Student Enrollment,Number,5433
Shelton School District,900168170,2008-2009,English Language Learner,Student Enrollment,Number,137
Shelton School District,900168170,2009-2010,Non-English Language Learner,Student Enrollment,Number,5348
Shelton School District,900168170,2009-2010,English Language Learner,Student Enrollment,Number,132
Shelton School District,900168170,2010-2011,Non-English Language Learner,Student Enrollment,Number,5159
Shelton School District,900168170,2010-2011,English Language Learner,Student Enrollment,Number,146
Shelton School District,900168170,2011-2012,Non-English Language Learner,Student Enrollment,Number,5087
Shelton School District,900168170,2011-2012,English Language Learner,Student Enrollment,Number,158
Shelton School District,900168170,2012-2013,Non-English Language Learner,Student Enrollment,Number,4932
Shelton School District,900168170,2012-2013,English Language Learner,Student Enrollment,Number,198
Shelton School District,900168170,2013-2014,Non-English Language Learner,Student Enrollment,Number,4789
Shelton School District,900168170,2013-2014,English Language Learner,Student Enrollment,Number,193
Shelton School District,900168170,2014-2015,Non-English Language Learner,Student Enrollment,Number,4757
Shelton School District,900168170,2014-2015,English Language Learner,Student Enrollment,Number,190
Shelton School District,900168170,2015-2016,Non-English Language Learner,Student Enrollment,Number,4713
Shelton School District,900168170,2015-2016,English Language Learner,Student Enrollment,Number,212
Shelton School District,900168170,2016-2017,Non-English Language Learner,Student Enrollment,Number,4586
Shelton School District,900168170,2016-2017,English Language Learner,Student Enrollment,Number,229
Shelton School District,900168170,2017-2018,Non-English Language Learner,Student Enrollment,Number,4496
Shelton School District,900168170,2017-2018,English Language Learner,Student Enrollment,Number,224
Shelton School District,900168170,2018-2019,Non-English Language Learner,Student Enrollment,Number,4480
Shelton School District,900168170,2018-2019,English Language Learner,Student Enrollment,Number,233
Shelton School District,900168170,2019-2020,Non-English Language Learner,Student Enrollment,Number,4416
Shelton School District,900168170,2019-2020,English Language Learner,Student Enrollment,Number,258
Shelton School District,900168170,2020-2021,Non-English Language Learner,Student Enrollment,Number,4144
Shelton School District,900168170,2020-2021,English Language Learner,Student Enrollment,Number,261
Sherman School District,,2007-2008,Non-English Language Learner,Student Enrollment,Number,-9999
Sherman School District,,2007-2008,English Language Learner,Student Enrollment,Number,-9999
Sherman School District,,2008-2009,Non-English Language Learner,Student Enrollment,Number,-9999
Sherman School District,,2008-2009,English Language Learner,Student Enrollment,Number,-9999
Sherman School District,,2009-2010,Non-English Language Learner,Student Enrollment,Number,-9999
Sherman School District,,2009-2010,English Language Learner,Student Enrollment,Number,-9999
Sherman School District,,2010-2011,Non-English Language Learner,Student Enrollment,Number,-9999
Sherman School District,,2010-2011,English Language Learner,Student Enrollment,Number,-9999
Sherman School District,,2011-2012,Non-English Language Learner,Student Enrollment,Number,-9999
Sherman School District,,2011-2012,English Language Learner,Student Enrollment,Number,-9999
Sherman School District,,2012-2013,Non-English Language Learner,Student Enrollment,Number,-9999
Sherman School District,,2012-2013,English Language Learner,Student Enrollment,Number,-9999
Sherman School District,,2013-2014,Non-English Language Learner,Student Enrollment,Number,-9999
Sherman School District,,2013-2014,English Language Learner,Student Enrollment,Number,-9999
Sherman School District,,2014-2015,Non-English Language Learner,Student Enrollment,Number,-9999
Sherman School District,,2014-2015,English Language Learner,Student Enrollment,Number,-9999
Sherman School District,,2015-2016,Non-English Language Learner,Student Enrollment,Number,-9999
Sherman School District,,2015-2016,English Language Learner,Student Enrollment,Number,-9999
Sherman School District,,2016-2017,Non-English Language Learner,Student Enrollment,Number,309
Sherman School District,,2016-2017,English Language Learner,Student Enrollment,Number,6
Sherman School District,,2017-2018,Non-English Language Learner,Student Enrollment,Number,-9999
Sherman School District,,2017-2018,English Language Learner,Student Enrollment,Number,-9999
Sherman School District,,2018-2019,Non-English Language Learner,Student Enrollment,Number,-9999
Sherman School District,,2018-2019,English Language Learner,Student Enrollment,Number,-9999
Sherman School District,,2019-2020,Non-English Language Learner,Student Enrollment,Number,-9999
Sherman School District,,2019-2020,English Language Learner,Student Enrollment,Number,-9999
Sherman School District,,2020-2021,Non-English Language Learner,Student Enrollment,Number,-9999
Sherman School District,,2020-2021,English Language Learner,Student Enrollment,Number,-9999
Side By Side Charter School District,,2007-2008,Non-English Language Learner,Student Enrollment,Number,215
Side By Side Charter School District,,2007-2008,English Language Learner,Student Enrollment,Number,15
Side By Side Charter School District,,2008-2009,Non-English Language Learner,Student Enrollment,Number,220
Side By Side Charter School District,,2008-2009,English Language Learner,Student Enrollment,Number,9
Side By Side Charter School District,,2009-2010,Non-English Language Learner,Student Enrollment,Number,223
Side By Side Charter School District,,2009-2010,English Language Learner,Student Enrollment,Number,9
Side By Side Charter School District,,2010-2011,Non-English Language Learner,Student Enrollment,Number,215
Side By Side Charter School District,,2010-2011,English Language Learner,Student Enrollment,Number,18
Side By Side Charter School District,,2011-2012,Non-English Language Learner,Student Enrollment,Number,214
Side By Side Charter School District,,2011-2012,English Language Learner,Student Enrollment,Number,18
Side By Side Charter School District,,2012-2013,Non-English Language Learner,Student Enrollment,Number,220
Side By Side Charter School District,,2012-2013,English Language Learner,Student Enrollment,Number,13
Side By Side Charter School District,,2013-2014,Non-English Language Learner,Student Enrollment,Number,219
Side By Side Charter School District,,2013-2014,English Language Learner,Student Enrollment,Number,16
Side By Side Charter School District,,2014-2015,Non-English Language Learner,Student Enrollment,Number,220
Side By Side Charter School District,,2014-2015,English Language Learner,Student Enrollment,Number,15
Side By Side Charter School District,,2015-2016,Non-English Language Learner,Student Enrollment,Number,222
Side By Side Charter School District,,2015-2016,English Language Learner,Student Enrollment,Number,14
Side By Side Charter School District,,2016-2017,Non-English Language Learner,Student Enrollment,Number,219
Side By Side Charter School District,,2016-2017,English Language Learner,Student Enrollment,Number,17
Side By Side Charter School District,,2017-2018,Non-English Language Learner,Student Enrollment,Number,219
Side By Side Charter School District,,2017-2018,English Language Learner,Student Enrollment,Number,16
Side By Side Charter School District,,2018-2019,Non-English Language Learner,Student Enrollment,Number,214
Side By Side Charter School District,,2018-2019,English Language Learner,Student Enrollment,Number,22
Side By Side Charter School District,,2019-2020,Non-English Language Learner,Student Enrollment,Number,213
